Date,Pen,Tag,Start_Time,End_Time,Total_Time,Total_Time,Nose_Rub,Water_Lap,Idle
30/05/2022,118,1C,13:37:04,13:37:32,0:00:28,0.47,0,0,0
30/05/2022,118,28F,13:49:55,13:50:17,0:00:22,0.37,0,0,0
30/05/2022,118,110K,14:25:15,14:27:42,0:02:27,2.45,0,0,0
30/05/2022,118,64F,14:31:08,14:32:41,0:01:33,1.55,0,0,0
30/05/2022,118,28F,14:39:48,14:40:40,0:00:52,0.87,0,0,0
30/05/2022,118,28F,14:42:00,14:42:15,0:00:15,0.25,0,0,0
30/05/2022,118,68F,14:46:46,14:48:13,0:01:27,1.45,0,0,0
30/05/2022,118,143A,14:52:10,14:52:36,0:00:26,0.43,0,0,0
30/05/2022,118,68F,15:14:52,15:15:52,0:01:00,1,0,0,0
30/05/2022,118,28F,15:18:26,15:18:37,0:00:11,0.18,0,0,0
30/05/2022,118,28F,15:19:43,15:19:55,0:00:12,0.2,0,0,0
30/05/2022,118,42G,15:31:11,15:42:33,0:11:22,11.37,0,0,0
30/05/2022,118,28F,15:44:26,15:44:40,0:00:14,0.23,0,0,0
30/05/2022,118,64F,15:49:17,15:51:43,0:02:26,2.43,0,0,0
30/05/2022,118,28F,16:06:44,16:07:10,0:00:26,0.43,0,0,0
30/05/2022,118,301G,16:14:23,16:15:58,0:01:35,1.58,0,0,0
30/05/2022,118,10E,16:22:59,16:24:31,0:01:32,1.53,0,0,1
30/05/2022,118,10E,16:25:40,16:36:00,0:10:20,10.33,0,0,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
